A_var,A_descricao,A_org_id,B_var,B_score,B_descricao,C_var,C_score,C_descricao,v050_pop,v050_hh,category
PESSOAN,Numero de ordem,11.59,V3005,0.67,Número de Ordem da Mãe,V3005,0.67,Número de Ordem da Mãe,True,False,MAPPED
POSOCUP,Posicao da ocupacao,11.60,V0349,1.0,Posição na Ocupação,V0349,1.0,Posição na Ocupação,True,False,MAPPED
RACACOR,Raca ou cor,11.61,V0309,1.0,Raça ou Cor,V0309,1.0,Raça ou Cor,True,False,MAPPED
RAPOSENF,Faixa de rend aposent/pensionista,11.62,,0.2,,,0.2,,False,False,TRULY_NEW
RAPOSENV,Valor rend aposent/pensionista,11.63,,0.2,,,0.2,,False,False,TRULY_NEW
RELIGIAO,Codigo da religiao,11.64,V0310,0.5,Religião,V0310,0.5,Religião,True,False,MAPPED
ROUTOCUF,Faixa renda outras ocupacoes,11.65,V0355,0.33,Horas Trabalhadas em Outras Ocupações,V0355,0.33,Horas Trabalhadas em Outras Ocupações,True,False,MAPPED
ROUTOCUV,Rend bruto outras ocupacoes,11.66,V0357,0.6,Rendimento Bruto de Outras Ocupações,V0357,0.6,Rendimento Bruto de Outras Ocupações,True,False,MAPPED
ROUTRENF,Faixa outros rendimentos,11.67,V3614,0.5,Faixas de Outros Rendimentos,V3614,0.5,Faixas de Outros Rendimentos,True,False,MAPPED
ROUTRENV,Valor outros rendimentos,11.68,V3614,0.5,Faixas de Outros Rendimentos,V3614,0.5,Faixas de Outros Rendimentos,True,False,MAPPED
RPRINCIF,Faixa renda ocupação principal,11.69,V0356,0.33,Rendimento Bruto da Ocupação Principal,V0356,0.33,Rendimento Bruto da Ocupação Principal,True,False,MAPPED
RPRINCIV,Rendimento bruto ocupacao principal,11.70,V0356,1.0,Rendimento Bruto da Ocupação Principal,V0356,1.0,Rendimento Bruto da Ocupação Principal,True,False,MAPPED
RTONOMIF,Faixa renda total nominal,11.71,V3561,0.4,Rendimento Nominal Total,V3561,0.4,Rendimento Nominal Total,True,False,MAPPED
RTOREALF,Faixa renda real pessoal,11.72,,0.2,,,0.2,,False,False,TRULY_NEW
RTOTALPV,Renda total,11.73,V0211,0.33,Total de Cômodos,V3043,0.33,Renda do Casal,True,True,B_C_DISAGREE
SCATUAL,Situacao conjugal atual,11.74,V3342,0.75,Situação Conjugal Atual da Pessoa,V3342,0.75,Situação Conjugal Atual da Pessoa,True,False,MAPPED
SCDURASC,Duracao sit. conjugal atual,11.75,V3341,0.5,Duração da Situação Conjugal Atual da Pessoa,V3341,0.5,Duração da Situação Conjugal Atual da Pessoa,True,False,MAPPED
SCID1UNI,Idade ao contrair 1ªuniao,11.76,V3311,0.33,Idade da Pessoa ao contrair a Primeira União,V3311,0.33,Idade da Pessoa ao contrair a Primeira União,True,False,MAPPED
SCIDISCA,Idade inicio sit.conj.atual,11.77,,0.22,,,0.22,,False,False,TRULY_NEW
SCNAOUNI,Nao vive com conjuge,11.78,V0330,0.5,Vive ou Viveu com Cônjuge,V0330,0.5,Vive ou Viveu com Cônjuge,True,False,MAPPED
SCNATUNI,Natureza da uniao,11.79,V0332,0.5,Estado Conjugal (Natureza da União),V0332,0.5,Estado Conjugal (Natureza da União),True,False,MAPPED
SCVIVCON,Vive ou viveu com conjuge,11.80,V0330,1.0,Vive ou Viveu com Cônjuge,V0330,1.0,Vive ou Viveu com Cônjuge,True,False,MAPPED
SEXO,Sexo,11.81,V0301,1.0,Sexo,V0301,1.0,Sexo,True,False,MAPPED
SITDESO,Situacao desocupado,11.82,V1061,0.33,Situação do Domicílio,V1061,0.33,Situação do Domicílio,True,True,MAPPED
TRUL12M,Trabalhou ultimos 12 meses,11.83,V0345,0.67,Trabalhou em todos ou em parte dos últimos 12 meses,V0345,0.67,Trabalhou em todos ou em parte dos últimos 12 meses,True,False,MAPPED
UVIVIDAD,Idade calculada do ult.filho nasc.vivo,11.84,V3443,0.5,Idade Calculada do(a) Último(a) Filho(a) Nascido(a) Vivo(a),V3443,0.5,Idade Calculada do(a) Último(a) Filho(a) Nascido(a) Vivo(a),True,False,MAPPED
UVIVIDTP,Tipo idade ult.filho nasc vivo,11.85,V3444,0.5,Tipo de Idade do(a) Último(a) Filho(a) Nascido(a) Vivo(a),V3444,0.5,Tipo de Idade do(a) Último(a) Filho(a) Nascido(a) Vivo(a),True,False,MAPPED
UVIVSEXO,Sexo ultimo filho nascido vivo,11.86,V0343,1.0,Sexo do Último Filho Nascido Vivo,V0343,1.0,Sexo do Último Filho Nascido Vivo,True,False,MAPPED
