Variáveis do Registro de Pessoas 1991,Unnamed: 1,Unnamed: 2,Unnamed: 3
V0361,Rendimento Bruto ou Média Mensal de Outros Rendimentos,"Campo numérico, sem categorias",
V3614,Faixas de Outros Rendimentos,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos",
V3351,Total de Filhos(as) Tidos(as),"Campo numérico, sem categorias",
V3352,Número de Filhos Tidos (Homens),"Campo numérico, sem categorias",
V3353,Número de Filhos Tidos (Mulheres),"Campo numérico, sem categorias",
V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),"Campo numérico, sem categorias",
V3355,Número de Filhos Tidos Nascidos Vivos(Homens),"Campo numérico, sem categorias",
V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),"Campo numérico, sem categorias",
V3360,Total de Filhos(as) Vivos(as),"Campo numérico, sem categorias",
V3361,Número de Filhos Vivos (Homens),"Campo numérico, sem categorias",
V3362,Número de Filhas Vivas (Mulheres),"Campo numérico, sem categorias",
V0335,Filhos Tidos que moram no domicílio,"Campo numérico, sem categorias",
V0336,Filhas Tidas que moram no domicílio,"Campo numérico, sem categorias",
V0337,Filhos Tidos que moram em outro domicílio (Homens),"Campo numérico, sem categorias",
V0338,Filhas Tidas que moram em outro domicílio (Mulheres),"Campo numérico, sem categorias",
V0339,Filhos Tidos Nascidos Vivos que já morreram (Homens),"Campo numérico, sem categorias",
V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),"Campo numérico, sem categorias",
V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),"Campo numérico, sem categorias",
V0341,Filhos Tidos Nascidos Mortos (Homens),"Campo numérico, sem categorias",
V0342,Filhas Tidas Nascidas Mortas (Mulheres),"Campo numérico, sem categorias",
V0343,Sexo do Último Filho Nascido Vivo,"1- Homem
2- Mulher
7- Não tem
9- Ignorado
- Homens ou Mulher com menos de 10 anos",
V3443,Idade Calculada do(a) Último(a) Filho(a) Nascido(a) Vivo(a),"Campo numérico, sem categorias",
V3444,Tipo de Idade do(a) Último(a) Filho(a) Nascido(a) Vivo(a),"1- Idade presumida
2- Idade declarada
9- Idade ignorada
- Homens ou mulher com menos de 10 anos ou mulher sem filho(a)",
V0310,Religião,"0- Sem religião
11- Católica Apostólica Romana
12- Católica Apostólica Brasileira
13- Católica Ortodoxa
21- Evangélica Tradicional Luterana
22- Evangélica Tradicional Presbiteriana
23- Evangélica Tradicional Metodista
24- Evangélica Tradicional Batista
25- Evangélica Tradicional Congregacional
26- Evangélica Tradicional Adventista
27- Evangélica Tradicional Episcopal Anglicana
28- Evangélica Tradicional Menonita
29- Evangélica Tradicional não determinada
30- Evangélica Tradicional Outras
31- Evangélica Pentecostal Assembléia de Deus
32- Evangélica Pentecostal Congregação Cristã do Brasil
33- Evangélica pentecostal O Brasil para Cristo
34- Evangélica pentecostal Evangelho Quadrangular
35- Evangélica pentecostal Universal do Reino de Deus
36- Evangélica pentecostal Casa da Benção
37- Evangélica pentecostal Casa da Oração
38- Evangélica pentecostal Deus é Amor
39- Evangélica pentecostal Maranata
40- Evangélica pentecostal Tradicional Renovada
41- Evangélica pentecostal não determinada
45- Evangélica pentecostal outras
49- Evangélica não determinada
51- Neo-Cristã Mórmon
52- Neo-Cristã Testemunha de Jeová
53- Neo-Cristã LBV
59- Neo-Cristã outra
61- Mediúnica Espírita
62- Mediúnica Umbandista
63- Mediúnica Candomblecista
71- Judaica ou Israelita
75- Oriental Budista
76- Oriental Messiânica
77- Oriental Seicho No-Ie
79- Oriental Outras
81- Outras - Islamismo
82- Outras - Esotérica
83- Outras - Indígena
84- Outras - grupos minoritários
85- Não determinada ou mal definidas - Cristã
86- Não determinada ou mal definidas - Crente
89- Não determinada ou mal definidas - outras
99- Sem declaração",
V7301,Peso ou Fator para Expansão da Amostra,"Campo numérico, sem categorias",
