Variáveis do Registro de Pessoas 1991,Unnamed: 1,Unnamed: 2,Unnamed: 3
V3342,Situação Conjugal Atual da Pessoa,"1- Casada em 1ª união
2- Casada em outra união
3- Casada com número de uniões ignorado
4- Separada, Desquitada, Divorciada ou Viúva
5- Solteira
- Pessoas com menos de 10 anos",
V0345,Trabalhou em todos ou em parte dos últimos 12 meses,"1- Habitualmente
2- Eventualmente
3- Não trabalhou
- Pessoas com menos de 10 anos",
V0346,Código da Ocupação,Ver arquivo auxiliar ocupacao_1991.xls,
V3461,Grupo de Ocupação,"1- Administrativas
2- Técnicas, Científicas, Artísticas e Assemelhadas
3- Agropecuária e da Produção Extrativa Vegetal e Animal
4- Produção Extrativa Mineral
5- Indústrias de Transformação e Construção Civil
6- Comércio e Atividades Auxiliares
7- Transportes e Comunicações
8- Prestação de Serviços
9- Defesa Nacional e Segurança Pública
10- Outras ocupações, ocupações mal definidas ou não declaradas
- Pessoas com menos de 10 anos ou (VAR0345) = 3",
V0347,Código da Atividade,Ver arquivo auxiliar atividade_1991.xls,
V3471,Setor de Atividade,"1- Atividades agropecuárias, de extração vegetal e pesca
2- Indústria de transformação
3- Indústria da construção civil
4- Outras atividades industriais (extração mineral e serviços industriais de utilidade pública)
5- Comércio de mercadorias
6- Transporte e comunicação
7- Serviços auxiliares da atividade econômica (técnico-profissionais e auxiliares das atividades econômicas)
8- Prestação de serviços (alojamento e alimentação, reparação e conservação, pessoais, domiciliares e diversões)
9- Social(comunitárias, médicas, odontológicas e ensino)
10- Administração Pública (Administração Pública, Defesa Nacional e Segurança Pública)
11- Outras atividades (instituições de crédito, seguros e capitalização, comércio e administração de imóveis e valores mobiliários organizações internacionais e representações estrangeiras, atividades não compreendidas nos demais ramos e atividades mal definidas ou não declaradas)
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V0349,Posição na Ocupação,"1- Trabalhador agrícola volante
2- Parceiro ou Meeiro - Empregado
3- Parceiro ou Meeiro - Autônomo ou Conta própria
4- Trabalhador Doméstico - Empregado
5- Trabalhador Doméstico - Autônomo ou Conta própria
6- Empregado do Setor Privado
7- Empregado do Setor Público - Servidor Público
8- Empregado do Setor Público - de Empresa Estatal
9- Autônomo ou conta-própria
10- Empregador
11- Sem remuneração
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V0350,Posse de Carteira de Trabalho Assinada,"1- Sim
2- Não sabe
3- Não tem
4- Não é empregado
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V0351,"Número de Empregados no Estabelecimento, Negócio, Instituição, etc.","1- Um ou dois
2- Três ou quatro
3- Cinco a nove
4- Dez ou mais
5- Trabalha sozinho
6- Com sócio ou não remunerado
7- Trabalhador doméstico
8- Não sabe
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V0352,Local de Trabalho,"1- No domicílio - sem local exclusivo
2- No domicílio - com local exclusivo
3- Via pública - com equipamento pesado
4- Via pública - com equipamento leve ou sem equipamento
5- Propriedade agropecuária
6- Empresa ou firma
7- Em casa do cliente ou patrão
8- Outro
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V0353,Contribuição para Instituto de Previdência Pública,"1- Sim
2- Não sabe
3- Não é
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V0354,Horas Trabalhadas por Semana na Ocupação Principal,"Campo numérico, sem categorias",
V0355,Horas Trabalhadas em Outras Ocupações,"Campo numérico, sem categorias",
V0356,Rendimento Bruto da Ocupação Principal,"Campo numérico, sem categorias",
V3561,Rendimento Nominal Total,"Campo numérico, sem categorias",
V3562,Faixas de Rendimento Nominal Total,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V3563,Faixas de Rendimento Real Total,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR0345) = código 3",
V3564,Faixas de Rendimento da Ocupação Principal,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR345) = código 3",
V0357,Rendimento Bruto de Outras Ocupações,"Campo numérico, sem categorias",
V3574,Faixas de Rendimento de Outras Ocupações,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos ou (VAR345) = código 3",
V0358,Condição de Atividade,"0- Sem ocupação
1- Procurando trabalho - Já trabalhou
2- Procurando trabalho - Nunca trabalhou
3- Aposentado
4- Pensionista
5- Vive de Rendas
6- Detento
7- Estudante
8- Doente ou Inválido
9- Afazeres Domésticos
- Pessoas com menos de 10 anos ou (VAR345) = código 1 ou 2",
V0359,Aposentado ou Pensionista,"0- Não é
1- Aposentado
2- Pensionista
3- Aposentado e Pensionista
- Pessoas com menos de 10 anos",
V0360,Rendimento Bruto de Aposentadoria e/ou Pensão,"Campo numérico, sem categorias",
V3604,Faixas de Rendimento de Aposentadoria e/ou Pensão,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos",
