Ano,Variável,Label,Descrição,População a qual se aplica,Observação,Categorias
1991,V0333,Estado Conjugal (Situação Conjugal),Estado Conjugal (Situação Conjugal),populationToApply,,"5- Separado(a) não judicialmente
6- Desquitado(a) ou separado judicialmente
7- Divorciado(a)
8- Viúvo(a)
9- Ignorado
- Pessoas com menos de 10 anos ou (VAR0330) = código 2"
1991,V3341,Duração da Situação Conjugal Atual da Pessoa,Duração da Situação Conjugal Atual da Pessoa,populationToApply,,"Campo numérico, sem categorias"
1991,V3342,Situação Conjugal Atual da Pessoa,Situação Conjugal Atual da Pessoa,populationToApply,,"1- Casada em 1ª união
2- Casada em outra união
3- Casada com número de uniões ignorado
4- Separada, Desquitada, Divorciada ou Viúva
5- Solteira
- Pessoas com menos de 10 anos"
1991,V0345,Trabalhou em todos ou em parte dos últimos 12 meses,Trabalhou em todos ou em parte dos últimos 12 meses,populationToApply,,"1- Habitualmente
2- Eventualmente
3- Não trabalhou
- Pessoas com menos de 10 anos"
1991,V0346,Código da Ocupação,Código da Ocupação,populationToApply,,Ver arquivo auxiliar ocupacao_1991.xls
1991,V3461,Grupo de Ocupação,Grupo de Ocupação,populationToApply,,"1- Administrativas
2- Técnicas, Científicas, Artísticas e Assemelhadas
3- Agropecuária e da Produção Extrativa Vegetal e Animal
4- Produção Extrativa Mineral
5- Indústrias de Transformação e Construção Civil
6- Comércio e Atividades Auxiliares
7- Transportes e Comunicações
8- Prestação de Serviços
9- Defesa Nacional e Segurança Pública
10- Outras ocupações, ocupações mal definidas ou não declaradas
- Pessoas com menos de 10 anos ou (VAR0345) = 3"
1991,V0347,Código da Atividade,Código da Atividade,populationToApply,,Ver arquivo auxiliar atividade_1991.xls
1991,V3471,Setor de Atividade,Setor de Atividade,populationToApply,,"1- Atividades agropecuárias, de extração vegetal e pesca
2- Indústria de transformação
3- Indústria da construção civil
4- Outras atividades industriais (extração mineral e serviços industriais de utilidade pública)
5- Comércio de mercadorias
6- Transporte e comunicação
7- Serviços auxiliares da atividade econômica (técnico-profissionais e auxiliares das atividades econômicas)
8- Prestação de serviços (alojamento e alimentação, reparação e conservação, pessoais, domiciliares e diversões)
9- Social(comunitárias, médicas, odontológicas e ensino)
10- Administração Pública (Administração Pública, Defesa Nacional e Segurança Pública)
11- Outras atividades (instituições de crédito, seguros e capitalização, comércio e administração de imóveis e valores mobiliários organizações internacionais e representações estrangeiras, atividades não compreendidas nos demais ramos e atividades mal definidas ou não declaradas)
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V0349,Posição na Ocupação,Posição na Ocupação,populationToApply,,"1- Trabalhador agrícola volante
2- Parceiro ou Meeiro - Empregado
3- Parceiro ou Meeiro - Autônomo ou Conta própria
4- Trabalhador Doméstico - Empregado
5- Trabalhador Doméstico - Autônomo ou Conta própria
6- Empregado do Setor Privado
7- Empregado do Setor Público - Servidor Público
8- Empregado do Setor Público - de Empresa Estatal
9- Autônomo ou conta-própria
10- Empregador
11- Sem remuneração
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V0350,Posse de Carteira de Trabalho Assinada,Posse de Carteira de Trabalho Assinada,populationToApply,,"1- Sim
2- Não sabe
3- Não tem
4- Não é empregado
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V0351,"Número de Empregados no Estabelecimento, Negócio, Instituição, etc.","Número de Empregados no Estabelecimento, Negócio, Instituição, etc.",populationToApply,,"1- Um ou dois
2- Três ou quatro
3- Cinco a nove
4- Dez ou mais
5- Trabalha sozinho
6- Com sócio ou não remunerado
7- Trabalhador doméstico
8- Não sabe
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V0352,Local de Trabalho,Local de Trabalho,populationToApply,,"1- No domicílio - sem local exclusivo
2- No domicílio - com local exclusivo
3- Via pública - com equipamento pesado
4- Via pública - com equipamento leve ou sem equipamento
5- Propriedade agropecuária
6- Empresa ou firma
7- Em casa do cliente ou patrão
8- Outro
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V0353,Contribuição para Instituto de Previdência Pública,Contribuição para Instituto de Previdência Pública,populationToApply,,"1- Sim
2- Não sabe
3- Não é
- Pessoas com menos de 10 anos ou (VAR0345) = código 3"
1991,V0354,Horas Trabalhadas por Semana na Ocupação Principal,Horas Trabalhadas por Semana na Ocupação Principal,populationToApply,,"Campo numérico, sem categorias"
1991,V0355,Horas Trabalhadas em Outras Ocupações,Horas Trabalhadas em Outras Ocupações,populationToApply,,"Campo numérico, sem categorias"
1991,V0356,Rendimento Bruto da Ocupação Principal,Rendimento Bruto da Ocupação Principal,populationToApply,,"Campo numérico, sem categorias"
1991,V3561,Rendimento Nominal Total,Rendimento Nominal Total,populationToApply,,"Campo numérico, sem categorias"
