A_var,A_org_id,A_descricao,A_tipo,A_categories
RDONOMIF,9.30,Faixa renda dom nominal,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salário mínimo | 3=Mais de 0,5 a 1 salario minimo | 4=Mais de 1 a 2 salarios minimos | 5=Mais de 2 a 3 salarios minimos | 6=Mais de 3 a 5 salarios minimos | 7=Mais de 5 a 10 salarios minimos | 8=Mais de 10 a 15 salarios minimos | 9=Mais de 15 a 20 salarios minimos | 10=Mais de 20 a 30 salarios minimos | 11=Mais de 30 salarios minimos | 12=Sem rendimento | 13=Sem declaracao | 0=NSA"
RDOREALF,9.31,Faixa renda dom real,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salário mínimo | 3=Mais de 0,5 a 1 salario minimo | 4=Mais de 1 a 2 salarios minimos | 5=Mais de 2 a 3 salarios minimos | 6=Mais de 3 a 5 salarios minimos | 7=Mais de 5 a 10 salarios minimos | 8=Mais de 10 a 15 salarios minimos | 9=Mais de 15 a 20 salarios minimos | 10=Mais de 20 a 30 salarios minimos | 11=Mais de 30 salarios minimos | 12=Sem rendimento | 13=Sem declaracao | 0=NSA"
SANESCOA,9.32,Instalacao Sanit. - Escoadouro,INTEGER,0=Nao tem | 1=Rede geral | 2=Fossa ligada a rede | 3=Fossa sem escoadoro | 4=Fossa rudimentar | 5=Vala negra | 6=Outro | 7=Nao sabe | 8=NSA
SANUSO,9.33,Inst Sanit - Uso,INTEGER,0=Nao tem | 1=So do domicilio | 2=Comum a mais de um domicilio | 3=NSA
TELEFONE,9.34,Telefone,INTEGER,0=Nao tem | 1=Uma linha | 2=Mais de uma linha | 3=NSA
TVCORES,9.35,Televisao em cores,INTEGER,0=Nao tem | 1=Um aparelho | 2=Dois aparelhos | 3=Mais de dois | 4=NSA
TVPRETO,9.36,Televisao em preto e branco,INTEGER,0=Nao tem | 1=Tem | 2=NSA
ESPFAM,10.1,Especie de familia,INTEGER,1=Nuclear | 2=Estendida | 3=Composta | 4=Unipessoal
NUMFAM,10.2,Familia a que pertence,INTEGER,1=Unica | 2=Domicilio coletivo | 3=Primeira familia | 4=Segunda familia | 5=Terceira familia | 6=Quarta familia | 7=Quinta familia
RFACHCAF,10.3,Faixa renda casal nominal,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salário mínimo | 3=Mais de 0,5 a 3/4 salário mínimo | 4=Mais de 3/4 a 1 salario minimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Mais de 20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
RFACHCAV,10.4,Renda casal,INTEGER,99999998=NSA | 99999999=Ignorado
RFAMILIV,10.5,Renda familiar,INTEGER,999999998=NSA | 999999999=Ignorado
RFANOMIF,10.6,Faixa renda familiar nominal,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salário mínimo | 3=Mais de 0,5 a 3/4 salário mínimo | 4=Mais de 3/4 a 1 salario minimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Mais de 20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
RFAPCAPF,10.7,Faixa renda per capita nominal,INTEGER,"1=Ate 0,125 salrio minimo | 2=Mais de 0,125 a 0,25 salario minimo | 3=Mais de 0,25 a 0,5 salário mínimo | 4=Mais de 0,5 a 0,75 salário mínimo | 5=Mais de 0,75 a 1 salário mínimo | 6=Mais de 1 a 1,25 salarios minimos | 7=Mais de 1,25 a 1,5 salarios minimos | 8=Mais de 1,5 a 2 salarios minimos | 9=Mais de 2 a 3 salarios minimos | 10=Mais de 3 a 5 salarios minimos | 11=Mais de 5 a 10 salarios minimos | 12=Mais de 10 salarios minimos | 13=Sem rendimento | 14=Sem declaracao | 0=NSA"
RFAPCAPV,10.8,Renda familiar per capita,REAL,999999998=NSA | 999999999=Ignorado
RFAREALF,10.9,Faixa renda familiar real,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salario minimo | 3=Mais de 0,5 a 1 salario minimo | 4=Mais de 1 a 2 salarios minimos | 5=Mais de 2 a 3 salarios minimos | 6=Mais de 3 a 5 salarios minimos | 7=Mais de 5 a 10 salarios minimos | 8=Mais de 10 a 15 salarios minimos | 9=Mais de 15 a 20 salarios minimos | 10=Mais de 20 a 30 salarios minimos | 11=Mais de 30 salarios minimos | 12=Sem rendimento | 13=Sem declaracao | 0=NSA"
APOPENS,11.1,Aposentado e/ou pensionista,INTEGER,0=Não é | 1=Aposentado | 2=Pensionista | 3=Aposentado e pensionista | 4=NSA
ATIVIDAD,11.2,Codigo da Atividade,INTEGER,801=Organ int rep estr. | 901=Outra atividade nao relacionada | 902=Atividade mal definida ou não declarada | 903=Ignorado | 0=NSA
ATIVISET,11.3,Setor de atividade,INTEGER,"1=Atividades Agropecuarias,extração vegetal e pesca | 2=Industria de Transformação | 3=Industria da Construcao | 4=Outras Atividades industriais | 5=Comercio de mercadorias | 6=Transp.e comunicacao | 7=Servilço auxiliar da atividade economica | 8=Prestação de servicos | 9=Social (comunitárias, médicas, odontológicas e ensino) | 10=Administração publica | 11=Outras | 0=NSA"
CARTASS,11.4,Tem carteira trab. assinada,INTEGER,1=Sim | 2=Nao sabe | 3=Nao tem | 4=Nao empregado | 0=NSA
CONPREV,11.5,Contribuinte previdencia,INTEGER,1=Sim | 2=Nao sabe | 3=Nao | 0=NSA
DEFICIE,11.6,Deficiencia,INTEGER,0=Nehuma enumerada | 1=Cegueira | 2=Surdez | 3=Paralisia de um dos lados | 4=Paralisia das pernas | 5=Paralisia total | 6=Falta de membro(s) ou parte deles | 7=Deficiencia mental | 8=Mais de uma | 9=Ignorado
EDANOEST,11.7,Anos de estudo,INTEGER,0=Sem instrucao | 17=17 ou mais anos | 20=Nao determinado | 30=Alfabetização de adultos | 31=NSA
EDCURSNS,11.8,Curso nao seriado,INTEGER,0=Nenhum | 1=Pre-escolar | 2=Alfabetização de Adultos | 3=Supletivo Primeiro Grau | 4=Supletivo Segundo Grau | 5=Pre-Vestibular | 6=Mestrado ou Doutorado | 7=NSA
EDCURSO,11.9,Curso concluido,INTEGER,"0=Nenhum curso | 1=Primario ou Elementar (Ensino Geral) | 2=Primario ou Elementar (Ensino Especial) | 3=Primario ou Elementar (Agricola) | 4=Primario ou Elementar (Admistração) | 5=Primario ou Elementar (Industrial) | 6=Primario ou Elementar (Saúde) | 7=Primario ou Elementar (Militar) | 8=Primario ou Elementar (Outros) | 10=Ensino Geral - 1ºGrau | 11=Educação Especial - 1ºGrau | 12=Agricola - 1ºGrau | 13=Administração - 1ºgrau | 14=Contabilidade - 1ºGrau | 15=Outros - 1ºGrau - Comercial | 16=Eletrotécnica ou Eletronica - 1ºGrau | 17=Mecanica - 1ºGrau | 18=Outro - 1ºGrau Industrial | 19=Enfermagem - 1ºGrau | 20=Outros - 1ºGrau - Saude | 21=Militar - 1ºGrau | 22=Normal - 1ºGrau | 23=Outros - 1ºGrau | 24=Ensino Geral - 2ºGrau | 25=Educação Especial - 2ºGrau | 26=Agricola - 2ºGrau | 27=Administração - 2ºGrau | 28=Contabilidade - 2ºGrau | 29=Estatistica - 2ºGrau | 30=Secretariado - 2ºGrau | 31=Outros - 2ºGrau - Comercial | 32=Desenho - 2ºGrau | 33=Eletrotecnica ou Eletronica - 2ºGrau | 34=Mecanica  -2ºGrau | 35=Quimica - 2ºGrau | 36=Outros - 2ºGrau - Industrial | 37=Emfermagem - 2ºGrau | 38=Laboratorista de analise clinica - 2ºGrau | 39=Outros - 2ºGrau - Saude | 40=Militar - 2ºGrau | 41=Normal - 2ºGrau | 42=Outros - 2ºGrau | 43=Biologia | 44=Educacao Fisica | 45=Enfermagem | 46=Farmacia | 47=Medicina | 48=Odontologia | 49=Outros da Biologia | 50=Arquitetura e Urbanismo | 51=Ciencias Exatas | 52=Ciencia da Computacao | 53=Engenharia Civil | 54=Engenharia Eletrica e Eletronica | 55=Engenharia Mecanica | 56=Engenharia Quimica e Quimica Industrial | 57=Engenharia nao classificada ou mal definida | 58=Estatistica | 59=Fisica | 60=Geologia | 61=Matematica | 62=Quimica | 63=Outros da Tecnologia | 64=Agronomia | 65=Medicina Veterinaria | 66=Outros Agrarios | 67=Administracao | 68=Biblioteconomia | 69=Ciencias Contabeis e Atuarias | 70=Ciencias Economicas | 71=Ciencias e Estudos Sociais | 72=Comunicacao Social | 73=Direito | 74=Filosofia | 75=Geografia | 76=Historia | 77=Pedagogia | 78=Psicologia | 79=Servico Social | 80=Teologia | 81=Outros de Humanas | 82=Letras | 83=Artes | 84=Defesa Nacional (militar) | 85=Outros cursosde grau superior | 86=Mestrado ou Doutorado - Medicina | 87=Mestrado ou doutorado - Outro (Biologia) | 88=Mestrado ou doutorado - Engenharia | 89=Mestrado ou doutorado - Outros (Ciencias Teclogicas) | 90=Mestrado ou doutorado - Ciencias Agrarias | 91=Mestrado ou doutorado - Administração | 92=Mestrado ou doutorado - Ciencias Economicas, Contsbeis, etc. | 93=Mestrado ou doutorado - Direito | 94=Mestrado ou doutorado - Pedagogia | 95=Mestrado ou doutorado - Outros (Ciencias Humanas e Sociais) | 96=Mestrado ou doutorado - Letras e Artes | 97=Mestrado ou doutorado - (Área não especificada) | 99=NSA"
EDGRAU,11.10,Grau que frequenta,,0=Nenhum | 1=Primeiro grau | 2=Segundo grau | 3=Superior | 4=Supletivo - Primeiro grau | 5=Supletivo - Segundo grau | 6=NSA
EDSABELE,11.11,Sabe ler escrever,INTEGER,1=Ler e escrever | 2=Nao sabe | 0=NSA
EDSERIE,11.12,Serie que frequenta,INTEGER,0=Nenhuma | 1=Primeira serie | 2=Segunda serie | 3=Terceira serie | 4=Quarta serie | 5=Quinta serie | 6=Sexta serie | 7=Setima serie | 8=Oitava serie | 9=NSA
EDULGRAU,11.13,Grau da ultima serie,INTEGER,0=Nenhum | 1=Curso de Alfabetização de adultos | 2=Primario ou elementar | 3=Ginasial ou Medio 1ºciclo | 4=Primeiro grau | 5=Segundo grau | 6=Colegial Medio 2ºciclo | 7=Superior | 8=Mestrado ou Doutorado | 9=NSA
EDULSERI,11.14,Ultima serie concluida,INTEGER,0=Nenhuma | 1=Primeira serie | 2=Segunda serie | 3=Terceira serie | 4=Quarta serie | 5=Quinta serie | 6=Sexta serie | 7=Setima serie | 8=Oitava serie | 9=Nunca frequentou | 10=NSA
EMPESTB,11.15,Num. empregados estabelecimento,INTEGER,1=Um ou dois | 2=Tres ou quatro | 3=Cinco a nove | 4=Dez ou mais | 5=Trabalha sozinho | 6=Com socio ou não remunerado | 7=Afazeres domesticos | 8=Nao sabe | 0=NSA
FLDOMICH,11.16,Filhos moram domicilio - homem,INTEGER,0=Nenhum | 70=Nao tem | 99=Ignorado | 100=NSA
FLDOMICM,11.17,Filhas moram domicilio -mulher,INTEGER,0=Nenhuma | 99=Ignorado | 100=NSA
FLMORTOH,11.18,Filhos mortos - homem,INTEGER,0=Nenhum | 70=Nao tem | 80=Nao sabe | 99=Ignorado | 100=NSA
FLMORTOM,11.19,Filhas mortas - mulher,INTEGER,0=Nenhuma | 99=Ignorado | 100=NSA
FLNAMORH,11.20,Filhos nascidos mortos - homem,INTEGER,0=Nenhum | 70=Nao teve | 80=Nao sabe | 99=Ignorado | 100=NSA
FLNAMORM,11.21,Filhas nascidas mortas - mulher,INTEGER,0=Nenhuma | 99=Ignorado | 100=NSA
FLNAMORT,11.22,Total filhos nascidos mortos,INTEGER,99=Nao sabe ou ignorado | 100=NSA
FLNAODOH,11.23,Filhos nao moram domicilio,INTEGER,0=Nenhum | 70=Nao tem | 80=Nao sabe | 99=Ignorado | 100=NSA
FLNAODOM,11.24,Filhas nao moram domicilio,INTEGER,0=Nenhuma | 99=Ignorado | 100=NSA
FLNAVIVH,11.25,Filhos nascidos vivos - homem,INTEGER,0=Nenhum | 99=Nao sabe ou ignorado | 100=NSA
FLNAVIVM,11.26,Filhas nascidas vivas - mulher,INTEGER,0=Nenhuma | 99=Nao sabe ou ignorado | 100=NSA
FLNAVIVT,11.27,Total filhos nascidos vivos,INTEGER,99=Nao sabe ou ignorado | 100=NSA
FLTIDOSH,11.28,Filhos tidos - homem,INTEGER,0=Nenhum | 99=Nao sabe ou ignorado | 100=NSA
FLTIDOSM,11.29,Filhas tidas - mulher,INTEGER,0=Nenhuma | 99=Nao sabe ou ignorado | 0=NSA
FLTIDOST,11.30,Total filhos tidos,INTEGER,99=Nao sabe ou ignorado | 100=NSA
FLVIVOSH,11.31,Filhos vivos - homem,INTEGER,0=Nenhum | 99=Nao sabe ou ignorado | 100=NSA
FLVIVOSM,11.32,Filhas vivas - mulher,INTEGER,0=Nenhuma | 99=Nao sabe ou ignorado | 100=NSA
FLVIVOST,11.33,Total filhos vivos,INTEGER,0=Nenhum | 99=Nao sabe ou ignorado | 100=NSA
HOROUTR,11.34,Horas trabalhadas em outras ocupacões,INTEGER,0=Nao tem outras ocupações | 99=NSA
HORTRAB,11.35,Horas trabalhadas ocupacao Q346,INTEGER,99=NSA
IDADEANO,11.36,Idade em anos,INTEGER,
IDADEMES,11.37,Idade em meses,INTEGER,0=Menos que 1 mes | 12=Idade em anos
IDADETIP,11.38,Tipo de idade,INTEGER,1=Presumida | 2=Declarada
LOCTRAB,11.39,Local de trabalho,INTEGER,1=No domicilio sem local exclusivo | 2=No domicilio com local exclusivo | 3=Via publica com equipamento pesado | 4=Via publica com equipamento leve | 5=Propriedade agropecuaria | 6=Empresa ou firma | 7=Em casa do cliente ou do patrao | 8=Outro | 9=NSA
MIANMOMU,11.40,Anos que mora no municipio,INTEGER,0=Menos de 1 ano | 98=98 anos | 99=NSA
MIANMOUF,11.41,Anos que mora na UF,INTEGER,0=Menos de 1 ano | 98=98 anos | 99=NSA
MIANORES,11.42,Ano fixou residencia,INTEGER,0=Brasileiro e estr<1 | 99=NSA
MIANTEMU,11.43,Municipio moradia anterior,INTEGER,9999=NSA
MIANTEUF,11.44,Lugar de moradia anterior,INTEGER,11=RO | 12=AC | 13=AM | 14=RR | 15=PA | 16=AP | 17=TO | 21=MA | 22=PI | 23=CE | 24=RN | 25=PB | 26=PE | 27=AL | 28=SE | 29=BA | 31=MG | 32=ES | 33=RJ | 35=SP | 41=PR | 42=SC | 43=RS | 50=MS | 51=MT | 52=GO | 53=DF | 54=Brasil nao especificado | 80=Pais estrangeiro ou mal definido | 99=Ignorado | 0=NSA
MIANTEZN,11.45,Zona moradia anterior,INTEGER,1=Urbana | 2=Rural | 9=Ignorada | 0=NSA
MIMO86MU,11.46,Municipio moradia em 86,INTEGER,9999=NSA
MIMO86UF,11.47,Lugar de moradia em 01/09/86,INTEGER,11=RO | 12=AC | 13=AM | 14=RR | 15=PA | 16=AP | 17=TO | 21=MA | 22=PI | 23=CE | 24=RN | 25=PB | 26=PE | 27=AL | 28=SE | 29=BA | 31=MG | 32=ES | 33=RJ | 35=SP | 41=PR | 42=SC | 43=RS | 50=MS | 51=MT | 52=GO | 53=DF | 54=Brasil nao especificado | 70=Neste municipio | 80=Pais estrangeiro ou mal definido | 99=Ignorado | 0=NSA
MIMO86ZN,11.48,Zona de moradia em 86,INTEGER,1=Urbana | 2=Rural | 9=Ignorada | 0=NSA
MIMUMOZN,11.49,Zona que morou neste municipio,INTEGER,1=So urbana | 2=So rural | 3=Urbana e rural
MINACION,11.50,Nacionalidade,INTEGER,1=Brasileiro nato | 2=Naturalizado brasileiro | 3=Estrangeiro | 0=NSA
MINASCMU,11.51,Nasceu neste municipio,INTEGER,1=Sempre morou | 2=Morou em outro | 3=Nao nasceu
MIUFPAIS,11.52,UF/Pais de nascimento,INTEGER,1=RO | 2=AC | 3=AM | 4=RR | 5=PA | 6=AP | 7=TO | 8=MA | 9=PI | 10=CE | 11=RN | 12=PB | 13=PE | 14=AL | 15=SE | 16=SE | 17=MG | 18=ES | 19=RJ | 20=SP | 21=PR | 22=SC | 23=RS | 24=MS | 25=MT | 26=GO | 27=DF | 29=Brasil sem especificação | 30=Argentina | 31=Bolivia | 32=Canada | 33=Chile | 34=Colombia | 35=Costa Rica | 36=Cuba | 37=Equador | 38=Estados Unidos | 39=Guatemala | 40=Guiana Inglesa | 41=Guiana Francesa | 42=Haiti | 43=Honduras | 44=Belize | 45=Jamaica | 46=Mexico | 47=Nicaragua | 49=Paraguai | 50=Peru | 51=Republica Dominicana | 52=El Salvador | 53=Suriname | 54=Uruguai | 55=Venezuela | 56=Outros America | 58=Alemanha | 59=Austria | 60=Belgica | 61=Bulgaria | 62=Dinamarca | 63=Eespanha | 64=Finlandia | 65=Franca | 66=Gra Bretanha | 67=Grecia | 68=Holanda | 69=Hungria | 70=Irlanda | 71=Italia | 72=Iugoslavia | 73=Noruega | 74=Polonia | 75=Portugal | 76=Romenia | 77=Suecia | 78=Suica | 79=Tchecoslovaquia | 80=U.R.S.S. | 81=Outros Europa | 82=Angola | 83=Egito | 84=Mocambique | 85=Outros Africa | 86=China Continental | 87=China Formosa | 88=Coreia | 89=India | 90=Israel | 91=Japao | 92=Libano | 93=Paquistao | 94=Siria | 95=Turquia | 96=Outros Asia | 97=Australia | 98=Outros Oceania | 99=Estrangeiro nao especificado | 100=NSA
MIULTMUD,11.53,Ultima mudanca,INTEGER,0=Menos de 1 ano | 98=Nunca mudou
NORDMAE,11.54,Numero de ordem da mae,INTEGER,70=Viva nao reside | 80=Falecida | 90=Nao sabe | 99=Ignorado
OCUPACAO,11.55,Ocupacao principal,INTEGER,927=Mal definida | 928=Ignorado | 0=NSA
OCUPAGRP,11.56,Grupo ocupacao principal,INTEGER,"1=Administrativas | 2=Tecnicas, Cientificas, Artisticas e Assemlhadas | 3=Agropecuaria e da Produção Extrativa Vegetal e Animal | 4=Producao Extrativa Mineral | 5=Industria de Transfoemação e Construção Civil | 6=Comercio e Atividades Auxiliares | 7=Transporte e Comunicações | 8=Prestacao de Servicos | 9=Defesa Nacional e Segurança Publica | 10=Outras Ocupações, ocupações mal definidas ou não declaradas | 0=NSA"
PARENDOM,11.57,Parentesco com o do chefe domicilio,INTEGER,1=Chefe | 2=Conjuge | 3=Filho(a) | 4=Enteado(a) | 5=Pai ou Mae | 6=Sogro(a) | 7=Avo ou Bisavo | 8=Neto(a) Bisneto(a) | 9=Genro ou Nora | 10=Irma(o) | 11=Cunhado(a) | 12=Outros Parentes | 13=Agregado(a) | 14=Pensionista | 15=Empregado domestico | 16=Parente do empregado domestico | 20=Individual
PARENFAM,11.58,Parentesco com o chefe da familia,INTEGER,1=Chefe | 2=Conjuge | 3=Filho(a) | 4=Enteado(a) | 5=Pai ou Mae | 6=Sogro(a) | 7=Avo ou Bisavo | 8=Neto(a) Bisneto(a) | 9=Genro ou Nora | 10=Irma(o) | 11=Cunhado(a) | 12=Outro Parente | 13=Agregado(a) | 14=Pensionista | 15=Empregado domestico | 20=Individual
PESSOAN,11.59,Numero de ordem,INTEGER,
POSOCUP,11.60,Posicao da ocupacao,INTEGER,1=Trabalhador agricola volante | 2=Parceiro ou Meeiro - Empregado | 3=Parceiro ou Meeiro - Autonomo ou conta propria | 4=Trabalhador Domestico - Empregado | 5=Trabalhador Domestico - Autonomo ou Conta propria | 6=Empregado do setor privado | 7=Empregado do Setor Publico - Servidor Publico | 8=Empregado do Setor Publico - Empresa Estatal | 9=Autonomo ou Conta propria | 10=Empregador | 11=Sem remuneracao | 0=NSA
RACACOR,11.61,Raca ou cor,INTEGER,1=Branca | 2=Preta | 3=Amarela | 4=Parda | 5=Indigena | 9=Ignorada
RAPOSENF,11.62,Faixa de rend aposent/pensionista,INTEGER,"1=Ate 0,25 salario minimo | 2=Mais de 0,25 a 0,5 salario minimo | 3=Mais de 0,5 a 0,75 salário mínimo | 4=Mais de 0,75 a 1 salário mínimo | 5=Mais de 1 a 1,25 salarios minimos | 6=Mais de 1,25 a 1,5 salarios minimos | 7=Mais de 1,5 a 2 salarios minimos | 8=Mais de 2 a 3 salarios minimos | 9=Mais de 3 a 5 salarios minimos | 10=Mais de 5 a 10 salarios minimos | 11=Mais de 10 a 15 salarios minimos | 12=Mais de 15 a 20 salarios minimos | 13=Mais de +20 salarios minimos | 14=Sem rendimento | 15=Sem declaracao | 0=NSA"
RAPOSENV,11.63,Valor rend aposent/pensionista,INTEGER,9999998=NSA | 9999999=Ignorado
